ID,adj.P.Val,P.Value,F,Gene.symbol,Gene.title
232142_at,0.652,0.00038149,8.235432,ISY1,ISY1 splicing factor homolog
229157_at,0.682,0.00041699,8.123533,PRKAG2-AS1,PRKAG2 antisense RNA 1
234215_at,0.682,0.00043934,8.058176,,
242220_at,0.682,0.00044882,8.031543,SPTBN1,"spectrin beta, non-erythrocytic 1"
41660_at,0.682,0.00045747,8.007709,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1
206519_x_at,0.682,0.00046175,7.996106,SIGLEC6,sialic acid binding Ig like lectin 6
37226_at,0.698,0.00049275,7.915333,BNIP1,BCL2 interacting protein 1
228527_s_at,0.698,0.00049823,7.901633,SLC25A37,solute carrier family 25 member 37
1558428_at,0.732,0.00053543,7.812563,ALS2CR11,amyotrophic lateral sclerosis 2 chromosome region candidate 11
240795_at,0.786,0.0005891,7.695037,,
205866_at,0.809,0.00064071,7.592301,FCN3,ficolin 3
1560162_at,0.809,0.00065438,7.566559,LOC643549,uncharacterized LOC643549
242839_at,0.809,0.00067013,7.537605,,
238032_at,0.809,0.00067544,7.528002,,
236336_at,0.809,0.00068053,7.518888,BOLA3-AS1,BOLA3 antisense RNA 1 (head to head)
1570197_at,0.829,0.00072179,7.447483,,
1562469_at,0.829,0.00072787,7.437322,CASC15,cancer susceptibility candidate 15 (non-protein coding)
212318_at,0.863,0.00078837,7.340934,TNPO3,transportin 3
205375_at,0.863,0.00078963,7.33901,MDFI,MyoD family inhibitor
238488_at,0.873,0.00082555,7.285537,LRRC70///IPO11,leucine rich repeat containing 70///importin 11
1560262_at,0.873,0.0008325,7.275462,,
213973_at,0.873,0.00086103,7.235082,RRBP1,ribosome binding protein 1
241142_at,0.873,0.00087203,7.219888,,
233760_at,0.873,0.00087773,7.212091,UTP11,"UTP11, small subunit processome component homolog (S. cerevisiae)"
202970_at,0.878,0.00092462,7.149944,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2
44065_at,0.878,0.00092762,7.146082,RITA1,RBPJ interacting and tubulin associated 1
211612_s_at,0.878,0.00094517,7.123759,IL13RA1,interleukin 13 receptor subunit alpha 1
1555198_x_at,0.878,0.00095988,7.105386,C21orf58,chromosome 21 open reading frame 58
228368_at,0.878,0.00096383,7.100499,ARHGAP20,Rho GTPase activating protein 20
240321_at,0.883,0.00100785,7.047486,,
234954_at,0.883,0.00102387,7.028791,,
231720_s_at,0.883,0.00102796,7.024071,JAM3,junctional adhesion molecule 3
1559393_at,0.883,0.00103418,7.016937,ALDH1L2,aldehyde dehydrogenase 1 family member L2
240564_x_at,0.893,0.0010618,6.985756,,
242878_at,0.952,0.00114867,6.893063,,
219868_s_at,0.965,0.00118192,6.859537,ANKFY1,ankyrin repeat and FYVE domain containing 1
238734_at,0.966,0.0012216,6.820815,,
207672_at,0.966,0.0012357,6.807385,RFX4,regulatory factor X4
1562730_a_at,0.966,0.00125469,6.789538,,
1556872_s_at,0.966,0.00126543,6.779573,IQSEC3,IQ motif and Sec7 domain 3
1570347_at,0.966,0.00134178,6.711228,MLX,"MLX, MAX dimerization protein"
1563035_x_at,0.966,0.00135976,6.695732,GPD1,glycerol-3-phosphate dehydrogenase 1
218691_s_at,0.966,0.00137385,6.683745,PDLIM4,PDZ and LIM domain 4
241605_at,0.966,0.00138632,6.673242,TRUB1,TruB pseudouridine synthase family member 1
215956_at,0.966,0.0014337,6.634225,,
240606_at,0.966,0.00144101,6.628332,,
1557789_at,0.966,0.00147915,6.598067,,
1557675_at,0.966,0.00148036,6.597126,RAF1,"Raf-1 proto-oncogene, serine/threonine kinase"
209651_at,0.966,0.00149961,6.582176,TGFB1I1,transforming growth factor beta 1 induced transcript 1
1562122_at,0.966,0.00150024,6.581688,,
1570269_at,0.966,0.0015378,6.553117,,
231284_at,0.966,0.00153953,6.551823,LOC100506406,uncharacterized LOC100506406
1564336_at,0.966,0.00154296,6.549251,,
217011_at,0.966,0.00157147,6.528127,GBX1,gastrulation brain homeobox 1
235316_at,0.966,0.00158388,6.519061,NAT8L,N-acetyltransferase 8 like
239862_at,0.966,0.00160036,6.507137,,
230268_at,0.966,0.00160945,6.500614,,
210812_at,0.966,0.00163988,6.479057,XRCC4,X-ray repair cross complementing 4
242042_s_at,0.966,0.00164394,6.476218,HAGLR,HOXD antisense growth-associated long non-coding RNA
1563505_at,0.966,0.00167062,6.457714,DUSP16,dual specificity phosphatase 16
209907_s_at,0.966,0.00169019,6.444345,ITSN2,intersectin 2
1555722_at,0.966,0.00170862,6.431895,SCAMPER,sphingolipid Ca2+ release mediating protein of endoplasmic reticulum
243035_at,0.966,0.0017225,6.422624,LOC101927038,uncharacterized LOC101927038
218712_at,0.966,0.00174698,6.406446,C1orf109,chromosome 1 open reading frame 109
233654_at,0.966,0.00177558,6.387859,PIGG,phosphatidylinositol glycan anchor biosynthesis class G
203490_at,0.966,0.0017922,6.377197,ELF4,E74 like ETS transcription factor 4
1553629_a_at,0.966,0.00180215,6.37087,FAM71B,family with sequence similarity 71 member B
1494_f_at,0.966,0.0018073,6.367605,CYP2A6,cytochrome P450 family 2 subfamily A member 6
228857_at,0.966,0.00180847,6.366866,GNL1,G protein nucleolar 1 (putative)
234847_at,0.966,0.0018319,6.35216,LINC00309,long intergenic non-protein coding RNA 309
238125_at,0.966,0.00187303,6.326817,ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16
212817_at,0.966,0.00187604,6.324984,DNAJB5,DnaJ heat shock protein family (Hsp40) member B5
238075_at,0.966,0.00189188,6.315402,CHEK1,checkpoint kinase 1
206331_at,0.966,0.00189689,6.312386,CALCRL,calcitonin receptor like receptor
231751_at,0.966,0.00190649,6.306635,ABCG8,ATP binding cassette subfamily G member 8
239562_at,0.966,0.00193175,6.291645,MTHFD2L,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like
214844_s_at,0.966,0.00195137,6.280148,DOK5,docking protein 5
1563112_at,0.966,0.00195352,6.278892,,
244825_at,0.966,0.00200021,6.252047,SHROOM4,shroom family member 4
241647_x_at,0.966,0.0020265,6.237219,,
229349_at,0.966,0.0020371,6.231299,LIN28B,lin-28 homolog B
227071_at,0.966,0.00203822,6.230673,ZNF414,zinc finger protein 414
1559354_a_at,0.966,0.00207244,6.211794,,
205635_at,0.966,0.00209688,6.198511,KALRN,"kalirin, RhoGEF kinase"
207234_at,0.966,0.00209959,6.197046,RFX3,regulatory factor X3
217132_at,0.966,0.00212191,6.185078,,
234452_at,0.966,0.0021259,6.18295,HIBADH,3-hydroxyisobutyrate dehydrogenase
222117_s_at,0.966,0.00213297,6.179196,ADCK2,aarF domain containing kinase 2
233190_at,0.966,0.00213342,6.178954,CASC18,cancer susceptibility candidate 18 (non-protein coding)
224325_at,0.966,0.00215386,6.168172,MIR4683///FZD8,microRNA 4683///frizzled class receptor 8
235957_at,0.966,0.00215469,6.167734,GRIP1,glutamate receptor interacting protein 1
223143_s_at,0.969,0.00218279,6.153094,AKIRIN2,akirin 2
1555929_s_at,0.969,0.0022471,6.120318,,
207996_s_at,0.969,0.00228016,6.103853,LDLRAD4,low density lipoprotein receptor class A domain containing 4
230458_at,0.969,0.00228074,6.103565,SLC45A1,solute carrier family 45 member 1
209892_at,0.969,0.00229466,6.096714,FUT4,fucosyltransferase 4
202716_at,0.969,0.00231099,6.088727,PTPN1,"protein tyrosine phosphatase, non-receptor type 1"
229452_at,0.969,0.00231468,6.086933,TMEM88,transmembrane protein 88
1553986_at,0.969,0.00234198,6.073738,RASEF,RAS and EF-hand domain containing
1562289_at,0.969,0.00239029,6.050783,,
239033_at,0.969,0.00242757,6.033407,,
227237_x_at,0.969,0.00243734,6.0289,ATAD3B,"ATPase family, AAA domain containing 3B"
1557900_at,0.969,0.00248645,6.006527,SIM2,single-minded family bHLH transcription factor 2
221651_x_at,0.969,0.00248917,6.005303,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant
236845_at,0.969,0.00249727,6.001664,TRIM62,tripartite motif containing 62
1560066_at,0.969,0.00251064,5.99568,,
233723_at,0.969,0.00251656,5.993045,,
223767_at,0.969,0.00254303,5.98133,GPR84,G protein-coupled receptor 84
224044_at,0.969,0.00254495,5.980486,RHOT1,ras homolog family member T1
219727_at,0.969,0.00259179,5.960086,DUOX2,dual oxidase 2
221755_at,0.969,0.00264295,5.93825,EHBP1L1,EH domain binding protein 1 like 1
1555990_at,0.969,0.00265557,5.93293,C22orf42,chromosome 22 open reading frame 42
241473_at,0.969,0.00266258,5.929987,,
230398_at,0.969,0.00267956,5.922894,TNS4,tensin 4
232817_at,0.969,0.00269301,5.917312,,
219555_s_at,0.969,0.0026965,5.915865,CENPN,centromere protein N
1569644_at,0.969,0.00272207,5.905344,,
222676_at,0.969,0.0027451,5.895957,FLJ30064///BRI3,uncharacterized LOC644975///brain protein I3
1554151_at,0.969,0.00275205,5.89314,OGDH,oxoglutarate dehydrogenase
230532_at,0.969,0.00278631,5.879367,CXorf38,chromosome X open reading frame 38
204015_s_at,0.969,0.00281265,5.868901,DUSP4,dual specificity phosphatase 4
229770_at,0.969,0.00282767,5.862974,GLT1D1,glycosyltransferase 1 domain containing 1
1568784_at,0.969,0.00285744,5.851335,LOC102725116,uncharacterized LOC102725116
223904_at,0.969,0.00287156,5.845859,PRKAG3,protein kinase AMP-activated non-catalytic subunit gamma 3
233538_s_at,0.969,0.0028884,5.839364,CYBB,cytochrome b-245 beta chain
230312_at,0.969,0.00300742,5.794581,,
216967_at,0.969,0.00301794,5.790711,GAP43,growth associated protein 43
214495_at,0.969,0.00302496,5.788139,CACNG2,calcium voltage-gated channel auxiliary subunit gamma 2
224088_at,0.969,0.00306218,5.774604,NMUR2,neuromedin U receptor 2
217288_at,0.969,0.00307014,5.771731,,
236139_at,0.969,0.0030762,5.769549,,
238504_at,0.969,0.0030783,5.768796,SDHAF4,succinate dehydrogenase complex assembly factor 4
225543_at,0.969,0.0030824,5.767323,GTF3C4,general transcription factor IIIC subunit 4
237097_at,0.969,0.00309272,5.763625,EHD4,EH domain containing 4
237159_x_at,0.969,0.00310585,5.758942,AP1S3,adaptor related protein complex 1 sigma 3 subunit
1557030_at,0.969,0.00313608,5.748235,GAB1,GRB2 associated binding protein 1
243728_at,0.969,0.00317502,5.734606,LOC101929109,uncharacterized LOC101929109
235866_at,0.969,0.00318086,5.732579,C9orf85,chromosome 9 open reading frame 85
216165_at,0.969,0.00322576,5.717113,GARNL3,GTPase activating Rap/RanGAP domain like 3
220291_at,0.969,0.00334231,5.678006,GDPD2,glycerophosphodiester phosphodiesterase domain containing 2
227902_at,0.969,0.00335367,5.674272,ZFP41,ZFP41 zinc finger protein
240841_at,0.969,0.0033955,5.660637,INSM2,INSM transcriptional repressor 2
1560024_at,0.969,0.00339655,5.660296,,
1565638_at,0.969,0.00346491,5.638403,PMP22,peripheral myelin protein 22
230625_s_at,0.969,0.003482,5.633,TSPAN12,tetraspanin 12
231983_at,0.969,0.00348521,5.631988,IBA57,"IBA57 homolog, iron-sulfur cluster assembly"
1557590_at,0.969,0.00349225,5.629771,PARD6G-AS1,PARD6G antisense RNA 1
237069_s_at,0.969,0.00349273,5.629623,TRPM1,transient receptor potential cation channel subfamily M member 1
206837_at,0.969,0.00349465,5.629019,ALX1,ALX homeobox 1
1554001_at,0.969,0.0035247,5.619622,TRIM37,tripartite motif containing 37
1560161_at,0.969,0.00352733,5.618806,,
203857_s_at,0.969,0.0035476,5.61252,MIR7110///PDIA5,microRNA 7110///protein disulfide isomerase family A member 5
237983_at,0.969,0.00356554,5.606989,,
229201_at,0.969,0.00358706,5.600396,PAK3,p21 (RAC1) activated kinase 3
211479_s_at,0.969,0.0036214,5.589957,HTR2C,5-hydroxytryptamine receptor 2C
1553955_at,0.969,0.00362577,5.588636,PPP1R21,protein phosphatase 1 regulatory subunit 21
1565849_a_at,0.969,0.003637,5.58525,SRRM5,serine/arginine repetitive matrix 5
211267_at,0.969,0.0036655,5.576705,HESX1,HESX homeobox 1
232631_at,0.969,0.00366959,5.575485,CDH6,cadherin 6
1560615_a_at,0.969,0.0036874,5.570187,,
244333_at,0.969,0.00369055,5.569251,,
205220_at,0.969,0.00370275,5.565643,HCAR3,hydroxycarboxylic acid receptor 3
1570065_at,0.969,0.00370904,5.563787,C22orf34,chromosome 22 open reading frame 34
242250_at,0.969,0.00371334,5.562519,,
223349_s_at,0.969,0.00372666,5.558603,BOK,"BOK, BCL2 family apoptosis regulator"
203454_s_at,0.969,0.00374048,5.554556,ATOX1,antioxidant 1 copper chaperone
237935_at,0.969,0.00375744,5.549614,,
232137_at,0.969,0.00376396,5.547718,ZNF616,zinc finger protein 616
228133_s_at,0.969,0.00378492,5.541653,MYH11,myosin heavy chain 11
207814_at,0.969,0.00380453,5.536009,DEFA6,defensin alpha 6
207310_s_at,0.969,0.00381893,5.531883,NOS1,nitric oxide synthase 1
224343_x_at,0.969,0.00384221,5.525251,YME1L1,YME1 like 1 ATPase
40687_at,0.969,0.00385332,5.522101,GJA4,gap junction protein alpha 4
233295_at,0.969,0.00389104,5.511474,VN1R108P,vomeronasal 1 receptor 108 pseudogene
41856_at,0.969,0.00390459,5.507683,UNC5B,unc-5 netrin receptor B
224595_at,0.969,0.00392067,5.503204,SLC44A1,solute carrier family 44 member 1
243871_at,0.969,0.0039281,5.50114,LOC100130476,uncharacterized LOC100130476
236637_at,0.969,0.00398952,5.484239,TAS2R14,taste 2 receptor member 14
220914_at,0.969,0.00399813,5.481892,,
221748_s_at,0.969,0.00400367,5.480386,TNS1,tensin 1
232759_at,0.969,0.00401321,5.477796,,
243497_at,0.969,0.00401391,5.477604,,
237098_at,0.969,0.00404938,5.468032,C1orf21,chromosome 1 open reading frame 21
222812_s_at,0.969,0.00408944,5.457326,RHOF,"ras homolog family member F, filopodia associated"
239550_at,0.969,0.00408969,5.457258,RORA,RAR related orphan receptor A
241123_at,0.969,0.00409843,5.45494,,
210052_s_at,0.969,0.00413505,5.445272,TPX2,"TPX2, microtubule nucleation factor"
200697_at,0.969,0.00414214,5.443411,HK1,hexokinase 1
229832_x_at,0.969,0.00414629,5.442322,SH3TC1,SH3 domain and tetratricopeptide repeats 1
239576_at,0.969,0.00416732,5.436828,MTUS1,microtubule associated tumor suppressor 1
236676_at,0.969,0.00417655,5.434426,,
1557326_at,0.969,0.00419125,5.430611,,
241831_at,0.969,0.00420531,5.426977,,
214745_at,0.969,0.00422258,5.422528,PLCH1,phospholipase C eta 1
231730_at,0.969,0.00423428,5.419525,SEPSECS,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
1565628_at,0.969,0.00431015,5.40027,LRRK1,leucine rich repeat kinase 1
228778_at,0.969,0.00431786,5.398333,MCPH1,microcephalin 1
230711_at,0.969,0.0043525,5.389678,,
1561309_x_at,0.969,0.00436417,5.386778,LOC105372550,uncharacterized LOC105372550
227294_at,0.969,0.00437246,5.384722,ZNF689,zinc finger protein 689
220126_at,0.969,0.00439115,5.380104,PRSS50,"protease, serine 50"
221944_at,0.969,0.00439528,5.379087,FLJ42627,uncharacterized LOC645644
1555872_a_at,0.969,0.00440507,5.376679,LOC728903///GLIDR,uncharacterized LOC728903///glioblastoma down-regulated RNA
219610_at,0.969,0.00445614,5.364208,ARHGEF28,Rho guanine nucleotide exchange factor 28
239028_at,0.969,0.00446533,5.36198,LYPD6,LY6/PLAUR domain containing 6
1563742_at,0.969,0.00447287,5.360154,LINC00842,long intergenic non-protein coding RNA 842
224515_at,0.969,0.00449532,5.354743,,
206642_at,0.969,0.00449878,5.35391,DSG1,desmoglein 1
207667_s_at,0.969,0.00451503,5.350014,LOC100996792///MAP2K3,dual specificity mitogen-activated protein kinase kinase 3///mitogen-activated protein kinase kinase 3
1563130_a_at,0.969,0.00453177,5.346014,,
213401_s_at,0.969,0.00457234,5.336388,TBL1X,transducin (beta)-like 1X-linked
207169_x_at,0.969,0.00458902,5.332455,MIR4640///DDR1,microRNA 4640///discoidin domain receptor tyrosine kinase 1
1560199_x_at,0.969,0.00459694,5.330595,,
1560989_at,0.969,0.0046276,5.323421,,
205113_at,0.969,0.00462787,5.323358,NEFM,"neurofilament, medium polypeptide"
1561880_a_at,0.969,0.00464817,5.318635,SIGLEC16,sialic acid binding Ig like lectin 16 (gene/pseudogene)
234335_s_at,0.969,0.00464936,5.318359,FAM84A,family with sequence similarity 84 member A
1555041_a_at,0.969,0.00469039,5.308884,NAGA,alpha-N-acetylgalactosaminidase
204201_s_at,0.969,0.00469203,5.308506,PTPN13,"protein tyrosine phosphatase, non-receptor type 13"
201170_s_at,0.969,0.0047007,5.306516,BHLHE40,basic helix-loop-helix family member e40
220660_at,0.969,0.00470615,5.305266,LINC00474,long intergenic non-protein coding RNA 474
215120_s_at,0.969,0.0047569,5.293708,SAMD4A,sterile alpha motif domain containing 4A
1560754_at,0.969,0.00477712,5.289138,CMTM7,CKLF like MARVEL transmembrane domain containing 7
216133_at,0.969,0.00477937,5.288632,YME1L1,YME1 like 1 ATPase
209963_s_at,0.969,0.00478475,5.287419,EPOR,erythropoietin receptor
1566596_at,0.969,0.0047903,5.286172,,
220979_s_at,0.969,0.00481339,5.280995,ST6GALNAC5,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
219942_at,0.969,0.00482882,5.277548,MYL7,myosin light chain 7
211112_at,0.969,0.00483482,5.276212,SLC12A4,solute carrier family 12 member 4
239727_at,0.969,0.00483999,5.275063,MIR1247///DIO3OS,microRNA 1247///DIO3 opposite strand/antisense RNA (head to head)
1569251_a_at,0.969,0.00484116,5.274803,ZNF333,zinc finger protein 333
242909_at,0.969,0.00484513,5.273921,,
241672_at,0.969,0.00484673,5.273564,SERTM1,serine rich and transmembrane domain containing 1
1555726_at,0.969,0.00484862,5.273145,GAFA3,FGF-2 activity-associated protein 3
241733_at,0.969,0.00488254,5.265644,C18orf54,chromosome 18 open reading frame 54
1553094_at,0.969,0.00490019,5.261764,FLJ45513///TAC4,uncharacterized LOC729220///tachykinin 4 (hemokinin)
201313_at,0.969,0.00491899,5.257648,ENO2,enolase 2
204285_s_at,0.969,0.00497226,5.24607,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1
1558486_at,0.969,0.00498408,5.24352,ZNF493,zinc finger protein 493
1565111_x_at,0.969,0.00501523,5.236828,OFCC1,orofacial cleft 1 candidate 1
223689_at,0.969,0.00502173,5.235437,IGF2BP1,insulin like growth factor 2 mRNA binding protein 1
236640_at,0.969,0.00508168,5.222698,LOC100507165,uncharacterized LOC100507165
1564368_a_at,0.969,0.00510117,5.218591,,
204104_at,0.969,0.00510404,5.217988,SNAPC2,small nuclear RNA activating complex polypeptide 2
232281_at,0.969,0.00512227,5.214162,LINC00662,long intergenic non-protein coding RNA 662
228367_at,0.969,0.00512256,5.214101,ALPK2,alpha kinase 2
201444_s_at,0.969,0.00512449,5.213698,ATP6AP2,ATPase H+ transporting accessory protein 2
1553494_at,0.969,0.00512849,5.212861,TDH,L-threonine dehydrogenase (pseudogene)
1569614_s_at,0.969,0.00514816,5.208756,LCN8,lipocalin 8
230498_at,0.969,0.00518878,5.200332,MCHR1,melanin concentrating hormone receptor 1
222556_at,0.969,0.00521006,5.195946,ALG5,"ALG5, dolichyl-phosphate beta-glucosyltransferase"
1552872_at,0.969,0.00522018,5.193867,ASMTL-AS1,ASMTL antisense RNA 1
210496_at,0.969,0.00522547,5.192783,NAG18,NAG18 mRNA
244526_at,0.969,0.00524702,5.188374,RASGRP3,RAS guanyl releasing protein 3
237981_at,0.969,0.00524876,5.188018,CMYA5,cardiomyopathy associated 5
241871_at,0.969,0.0052879,5.180065,CAMK4,calcium/calmodulin dependent protein kinase IV
242011_at,0.969,0.00530021,5.177575,,
237251_at,0.969,0.00534443,5.168684,LRRC71,leucine rich repeat containing 71
212097_at,0.969,0.00535013,5.167545,CAV1,caveolin 1
206222_at,0.969,0.00537311,5.162961,TNFRSF10C,TNF receptor superfamily member 10c
238206_at,0.969,0.005419,5.153868,RXFP1,relaxin/insulin like family peptide receptor 1
220846_s_at,0.969,0.00542671,5.152348,LOC100506504,uncharacterized LOC100506504
1564242_at,0.969,0.00543528,5.150661,TRPM2-AS,TRPM2 antisense RNA
200665_s_at,0.969,0.0054845,5.14103,SPARC,secreted protein acidic and cysteine rich
235402_at,0.969,0.00551031,5.136016,PPP1R32,protein phosphatase 1 regulatory subunit 32
204623_at,0.969,0.00552556,5.133064,TFF3,trefoil factor 3
1553395_a_at,0.969,0.00553873,5.130523,CD200R1,CD200 receptor 1
1556829_at,0.969,0.00557137,5.124251,TIPARP-AS1,TIPARP antisense RNA 1
227915_at,0.969,0.00560211,5.118381,ASB2,ankyrin repeat and SOCS box containing 2
205191_at,0.969,0.00560285,5.118239,RP2,retinitis pigmentosa 2 (X-linked recessive)
207275_s_at,0.969,0.00561353,5.116208,ACSL1,acyl-CoA synthetase long-chain family member 1
242443_at,0.969,0.0056141,5.116101,ZC3H14,zinc finger CCCH-type containing 14
1568852_x_at,0.969,0.00562227,5.11455,LINC01352,long intergenic non-protein coding RNA 1352
823_at,0.969,0.0056645,5.106571,CX3CL1,C-X3-C motif chemokine ligand 1
226457_at,0.969,0.00568241,5.103204,,
1564828_at,0.969,0.00573501,5.093387,KIAA1211,KIAA1211
204143_s_at,0.969,0.00574164,5.092155,ENOSF1,enolase superfamily member 1
231998_at,0.969,0.00576072,5.088621,SART1,squamous cell carcinoma antigen recognized by T-cells 1
225028_at,0.969,0.00577537,5.085917,LINC01420,long intergenic non-protein coding RNA 1420
236753_at,0.969,0.0057761,5.085782,LINC00689,long intergenic non-protein coding RNA 689
1567010_at,0.969,0.00579008,5.083208,,
231316_at,0.969,0.00580349,5.080745,,
240929_at,0.969,0.00581016,5.079523,RBPMS-AS1,RBPMS antisense RNA 1
213802_at,0.969,0.00586074,5.070299,PRSS12,"protease, serine 12"
240633_at,0.969,0.0058675,5.069073,DOK7,docking protein 7
1566824_at,0.969,0.00591893,5.059791,,
223512_at,0.969,0.0059374,5.056478,SAR1B,secretion associated Ras related GTPase 1B
240619_at,0.969,0.00594877,5.054445,,
208340_at,0.969,0.00595229,5.053817,LOC643733,"caspase 4, apoptosis-related cysteine peptidase pseudogene"
209717_at,0.969,0.0059927,5.046626,EVI5,ecotropic viral integration site 5
222348_at,0.969,0.00599312,5.04655,MAST4,microtubule associated serine/threonine kinase family member 4
1554782_at,0.969,0.00601042,5.043489,KLHL30-AS1,KLHL30 antisense RNA 1
217258_x_at,0.969,0.00602864,5.040274,IGLV1-44,immunoglobulin lambda variable 1-44
1569387_at,0.969,0.0060338,5.039364,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1
218440_at,0.969,0.00603792,5.03864,MCCC1,methylcrotonoyl-CoA carboxylase 1
220555_s_at,0.969,0.00603878,5.038488,PDZD7,PDZ domain containing 7
AFFX-r2-Bs-phe-5_at,0.969,0.00606764,5.033425,,
234743_at,0.969,0.00610729,5.026511,LIMD1,LIM domains containing 1
1559034_at,0.969,0.00611341,5.025449,SIRPB2,signal regulatory protein beta 2
205669_at,0.969,0.00612954,5.022652,NCAM2,neural cell adhesion molecule 2
208076_at,0.969,0.0061351,5.02169,HIST1H4D,"histone cluster 1, H4d"
1564072_at,0.969,0.0061365,5.021449,MYH16,myosin heavy chain 16 pseudogene
244034_at,0.969,0.00615809,5.017722,,
205617_at,0.969,0.00617239,5.015263,PRRG2,proline rich and Gla domain 2
235318_at,0.969,0.00618231,5.01356,FBN1,fibrillin 1
243963_at,0.969,0.00619309,5.011711,,
1563568_at,0.969,0.0062261,5.006075,LINC00559,long intergenic non-protein coding RNA 559
202018_s_at,0.969,0.00628397,4.99627,LTF,lactotransferrin
1552822_at,0.969,0.00628784,4.995617,TMX3,thioredoxin related transmembrane protein 3
202734_at,0.969,0.00629504,4.994405,TRIP10,thyroid hormone receptor interactor 10
210398_x_at,0.969,0.00631995,4.990222,FUT6,fucosyltransferase 6
209444_at,0.969,0.00635787,4.983887,RAP1GDS1,Rap1 GTPase-GDP dissociation stimulator 1
1555938_x_at,0.969,0.00637081,4.981734,VIM,vimentin
222365_at,0.969,0.00637741,4.980638,TBCEL,tubulin folding cofactor E like
1553960_at,0.969,0.00639106,4.978376,SNX21,sorting nexin family member 21
204036_at,0.969,0.0064023,4.976516,LPAR1,lysophosphatidic acid receptor 1
210506_at,0.969,0.00642223,4.973226,FUT7,fucosyltransferase 7
243915_at,0.969,0.00644547,4.969404,,
220117_at,0.969,0.00645873,4.967231,ZNF385D,zinc finger protein 385D
225859_at,0.969,0.00646825,4.965672,XIAP,X-linked inhibitor of apoptosis
205706_s_at,0.969,0.00648563,4.962835,ANKRD26,ankyrin repeat domain 26
214525_x_at,0.969,0.00652657,4.956181,MLH3,mutL homolog 3
240081_at,0.969,0.00654211,4.953667,,
1561451_a_at,0.969,0.00654887,4.952576,LOC101928551,uncharacterized LOC101928551
217053_x_at,0.969,0.00655596,4.951432,ETV1,ETS variant 1
202009_at,0.969,0.00659741,4.944772,TWF2,twinfilin actin binding protein 2
239620_at,0.969,0.00659852,4.944594,TTC23L,tetratricopeptide repeat domain 23 like
