Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,Location
6.5,3.2,5.1,2,virginica,USA
6.4,2.7,5.3,1.9,virginica,USA
6.8,3,5.5,2.1,virginica,USA
5.7,2.5,5,2,virginica,
5.8,2.8,5.1,2.4,virginica,USA
6.4,3.2,,2.3,virginica,USA
6.5,3,5.5,1.8,virginica,USA
7.7,3.8,6.7,2.2,virginica,USA
7.7,2.6,6.9,23,virginica,USA
6,2.2,5,1.5,virginica,USA
6.9,3.2,5.7,2.3,virginica,USA
5.6,2.8,4.9,2,virginica,USA
7.7,2.8,6.7,2,virginica,USA
6.3,2.7,4.9,1.8,virginica,USA
6.7,3.3,5.7,2.1,virginica,USA
7.2,3.2,6,1.8,virginica,USA
6.2,2.8,4.8,1.8,virginica,
6.1,3,4.9,1.8,virginica,USA
6.4,2.8,5.6,2.1,virginica,USA
7.2,3,5.8,1.6,virginica,USA
7.4,2.8,6.1,1.9,virginica,USA
7.9,3.8,6.4,2,virginica,USA
6.4,2.8,5.6,2.2,virginica,USA
6.3,2.8,5.1,1.5,virginica,
6.1,2.6,5.6,1.4,virginica,USA
7.7,3,6.1,2.3,virginica,USA
6.3,3.4,5.6,2.4,virginica,USA
6.4,3.1,5.5,1.8,virginica,
6,3,4.8,1.8,virginica,USA
6.9,3.1,5.4,2.1,virginica,USA
6.7,3.1,5.6,2.4,virginica,USA
6.9,3.1,5.1,2.3,virginica,USA
5.8,2.7,5.1,1.9,,
6.8,3.2,5.9,2.3,virginica,USA
6.7,3.3,5.7,2.5,virginica,USA
6.7,3,5.2,2.3,virginica,USA
6.3,2.5,5,1.9,virginica,USA
6.5,3,n/a,n/a,virginica,USA
6.2,3.4,5.4,2.3,virginica,USA
5.9,3,5.1,1.8,virginica,
