"Virus","Family","Baltimore","Virion","Host","Function","ViralProtein","Receptor","Type","HostExpression","VirusTropism","EntryMode"
"Human papillomavirus 16","Papillomaviridae, Alphapapillomavirus","dsDNA","Non-env","Human","entry","capsid protein L1","Integrin &alpha;6","Adhesion molecule","Bronchial epithelial cells","Genital mucosa","Clathrin/caveolin-independent endocytosis"
"Herpes simplex virus type 1","Herpesviridae Simplexvirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein B/C","Heparan sulfate","Carbohydrate","?","neurons, epithelial mucosal cells","Fusion with host cell membrane"
"Herpes simplex virus type 1","Herpesviridae Simplexvirus","dsDNA","Env","Human","Adhesion","?","DC-SIGN","Lectin","Dendritic cells","neurons, epithelial mucosal cells","Fusion with host cell membrane"
"Herpes simplex virus type 1","Herpesviridae Simplexvirus","dsDNA","Env","Human","Entry","Envelope glycoprotein D","Nectin 1(PVRL1)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse ofneurons","neurons, epithelial mucosal cells","Fusion with host cell membrane"
"Herpes simplex virus type 1","Herpesviridae Simplexvirus","dsDNA","Env","Human","Entry","Envelope glycoprotein D","Nectin 2 (PVRL2)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","neurons, epithelial mucosal cells","Fusion with host cell membrane"
"Herpes simplex virus type 1","Herpesviridae Simplexvirus","dsDNA","Env","Human","Entry","Envelope glycoprotein D","TNFRSF14 (HVEM)","Receptor","Lymphocytes, monocytes","neurons, epithelial mucosal cells","Fusion with host cell membrane"
"Herpes simplex virus type 1","Herpesviridae Simplexvirus","dsDNA","Env","Human","Entry","Envelope glycoprotein H/L","Integrin &alpha;V  &beta;6","Adhesion molecule","?","neurons, epithelial mucosal cells","Fusion with host cell membrane"
"Herpes simplex virus type 2","Herpesviridae, Simplexvirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein B/C","Heparan sulfate ","Carbohydrate","?","epithelial mucosal cells of genital area, latency in sacral ganglion (neurons)","Fusion with host cell membrane"
"Herpes simplex virus type 2","Herpesviridae, Simplexvirus","dsDNA","Env","Human","Entry","Envelope glycoprotein D","TNFRSF14 (HVEM)","Receptor","Lymphocytes, monocytes","epithelial mucosal cells of genital area, latency in sacral ganglion (neurons)","Fusion with host cell membrane"
"Herpes simplex virus type 2","Herpesviridae, Simplexvirus","dsDNA","Env","Human","Entry","Envelope glycoprotein D","Nectin 1(PVRL1)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","epithelial mucosal cells of genital area, latency in sacral ganglion (neurons)","Fusion with host cell membrane"
"Herpes simplex virus type 2","Herpesviridae, Simplexvirus","dsDNA","Env","Human","Entry","Envelope glycoprotein D","Nectin 2 (PVRL2)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","epithelial mucosal cells of genital area, latency in sacral ganglion (neurons)","Fusion with host cell membrane"
"Varicella-zoster virus (HHV-3)","Herpesviridae, Varicellovirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein B","Heparan sulfate","Carbohydrate","?","Starts in upper respiratory tract or conjunctival mucosal cell,  then T lymphoid cells, reaching liver, spleen, gastrointestinal tract. latency in sensory ganglia","Fusion with host cell membrane"
"Varicella-zoster virus (HHV-3)","Herpesviridae, Varicellovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein E","Insulinase (IDE)","Peptidase","neurons","Starts in upper respiratory tract or conjunctival mucosal cell,  then T lymphoid cells, reaching liver, spleen, gastrointestinal tract. latency in neurons","Fusion with host cell membrane"
"Equine herpesvirus-1","Herpesviridae, Varicellovirus","dsDNA","Env","Horses","Adhesion","Envelope glycoprotein B/C","Heparan sulfate","Carbohydrate","?","epithelium and macrophages in respiratory tract, central nervous system, adrenal and thyroid glands","Fusion with host cell membrane"
"Equine herpesvirus-1","Herpesviridae, Varicellovirus","dsDNA","Env","Horses","Entry","Envelope glycoprotein D","HLA","MHC-I","?","epithelium and macrophages in respiratory tract, central nervous system, adrenal and thyroid glands","Fusion with host cell membrane"
"Equine herpesvirus-1","Herpesviridae, Varicellovirus","dsDNA","Env","Horses","Entry","Envelope glycoprotein H","Integrin &alpha;4  &beta;1","Adhesion molecule","Leukocytes","epithelium and macrophages in respiratory tract, central nervous system, adrenal and thyroid glands","Fusion with host cell membrane"
"Equine herpesvirus-4","Herpesviridae, Varicellovirus","dsDNA","Env","Horses","Entry","Envelope glycoprotein D","MHC class I (HLA)","MHC-I","?","epithelium and macrophages in respiratory tract, central nervous system, adrenal and thyroid glands","Fusion with host cell membrane"
"Bovine herpesvirus","Herpesviridae, Varicellovirus","dsDNA","Env","Bovine","Adhesion","Envelope glycoprotein B/C","Heparan sulfate","Carbohydrate","?","neurons","Fusion with host cell membrane"
"Bovine herpesvirus","Herpesviridae, Varicellovirus","dsDNA","Env","Bovine","Entry","Envelope glycoprotein D","Poliovirus receptor (PVR)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","neurons","Fusion with host cell membrane"
"Bovine herpesvirus","Herpesviridae, Varicellovirus","dsDNA","Env","Bovine","Entry","Envelope glycoprotein D","Nectin 1 (PVRL1)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","neurons","Fusion with host cell membrane"
"Epstein-Barr virus (HHV-4)","Herpesviridae, Lymphocryptovirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein gp350","CR1","Complement regulator","erythrocytes, lymphocytes, glomerular podocytes, and dendritic cells","B lymphocytes, oral epithelial cells","Fusion with host cell membrane"
"Epstein-Barr virus (HHV-4)","Herpesviridae, Lymphocryptovirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein gp350","CR2","Complement regulator","erythrocytes, lymphocytes, glomerular podocytes, and dendritic cells","B lymphocytes, oral epithelial cells","Fusion with host cell membrane"
"Epstein-Barr virus (HHV-4)","Herpesviridae, Lymphocryptovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gp42","HLA-DRB1","MHC-I","B lymphocytes","B lymphocytes, oral epithelial cells","Fusion with host cell membrane"
"Epstein-Barr virus (HHV-4)","Herpesviridae, Lymphocryptovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein BMRF2","Integrin &beta;1","Adhesion molecule","Beta1: Salivary gland?","B lymphocytes, oral epithelial cells","Fusion with host cell membrane"
"Human cytomegalovirus (HHV-5)","Herpesviridae, Cytomegalovirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein gH/gL","Heparan sulfate","Carbohydrate","","Epithelial cells, endothelial cells, fibroblasts, smooth muscle cells and megacaryocyte","Fusion with host cell membrane"
"Human cytomegalovirus (HHV-5)","Herpesviridae, Cytomegalovirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein gB","DC-SIGN","Lectin","Dendritic cells","Epithelial cells, endothelial cells, fibroblasts, smooth muscle cells and megacaryocyte","Fusion with host cell membrane"
"Human cytomegalovirus (HHV-5)","Herpesviridae, Cytomegalovirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein gB","CLEC4M(L-SIGN)","Lectin","Liver sinusoidal cells and lymph nodes","Epithelial cells, endothelial cells, fibroblasts, smooth muscle cells and megacaryocyte","Fusion with host cell membrane"
"Human cytomegalovirus (HHV-5)","Herpesviridae, Cytomegalovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gH/gL","Integrin &alpha;V  &beta;3","Adhesion molecule","","Epithelial cells, endothelial cells, fibroblasts, smooth muscle cells and megacaryocyte","Fusion with host cell membrane"
"Human cytomegalovirus (HHV-5)","Herpesviridae, Cytomegalovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gB","Integrin &beta;1","Adhesion molecule","Beta1: Salivary gland?","Epithelial cells, endothelial cells, fibroblasts, smooth muscle cells and megacaryocyte","Fusion with host cell membrane"
"Human cytomegalovirus (HHV-5)","Herpesviridae, Cytomegalovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gB","EGFR","Adhesion molecule","","Epithelial cells, endothelial cells, fibroblasts, smooth muscle cells and megacaryocyte","Fusion with host cell membrane"
"Human herpesvirus 6A (HHV-6A)","Herpesviridae, Roseolovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gQ1/gQ2","CD46","Receptor","Ubiquitous","T Lymphocytes","Fusion with host cell membrane"
"Human herpesvirus 6B (HHV-6B)","Herpesviridae, Roseolovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gQ1/gQ2","TNFRSF4","Receptor","Lymphocytes","T Lymphocytes","Fusion with host cell membrane"
"Human herpesvirus 7 (HHV-7)","Herpesviridae, Roseolovirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein gB","Heparan sulfate","Carbohydrate","","T lymphocytes","Fusion with host cell membrane"
"Human herpesvirus 7 (HHV-7)","Herpesviridae, Roseolovirus","dsDNA","Env","Human","Adhesion","?","CD4","Receptor"," T lymphocytes, macrophages, dendritic cells","T lymphocytes","Fusion with host cell membrane"
"Kaposi Sarcoma virus (HHV-8)","Herpesviridae, Rhadinovirus","dsDNA","Env","Human","Adhesion","?","Heparan sulfate","Carbohydrate","","B lymphocytes, oral epithelial cells","Macropinocytosis"
"Kaposi Sarcoma virus (HHV-8)","Herpesviridae, Rhadinovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gB","Integrin &alpha;V &beta;3","Adhesion molecule","?","B lymphocytes, oral epithelial cells","Macropinocytosis"
"Pseudorabies virus","Herpesviridae, Varicellovirus","dsDNA","Env","Human","Adhesion","Envelope glycoprotein gB/gC","Heparan sulfate","Carbohydrate","","neurons,  nasal and oral epithelial cells","Fusion with host cell membrane"
"Pseudorabies virus","Herpesviridae, Varicellovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gD","Poliovirus receptor (PVR)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","neurons,  nasal and oral epithelial cells","Fusion with host cell membrane"
"Pseudorabies virus","Herpesviridae, Varicellovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gD","Nectin 1 (PVRL1)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","neurons,  nasal and oral epithelial cells","Fusion with host cell membrane"
"Pseudorabies virus","Herpesviridae, Varicellovirus","dsDNA","Env","Human","Entry","Envelope glycoprotein gD","Nectin 2 (PVRL2)","Adhesion molecule","adherens junction of epithelial tissue or the chemical synapse of neurons","neurons,  nasal and oral epithelial cells","Fusion with host cell membrane"
"Vaccinia virus","Poxviridae, Orthopoxvirus","dsDNA","Env","Human","Entry"," virion membrane phosphatidylserine","?","?","?","dendritic cells, monocytes/macrophages, B lymphocytes, activated T lymphocytes","Macropinocytosis"
"Vaccinia virus","Poxviridae, Orthopoxvirus","dsDNA","Env","Human","Adhesion","A27, D8, H3","Heparan sulfate","Carbohydrate","","dendritic cells, monocytes/macrophages, B lymphocytes, activated T lymphocytes","Macropinocytosis"
"Vaccinia virus","Poxviridae, Orthopoxvirus","dsDNA","Env","Human","Adhesion","Protein A26","Laminin","Extracellular matrix","","dendritic cells, monocytes/macrophages, B lymphocytes, activated T lymphocytes","Macropinocytosis"
"Adenovirus type B","Adenoviridae, Mastadenovirus","dsDNA","Non-env","Human","Entry","Fiber protein","CD80","Adhesion molecule","B cells, monocytes","epithelial cells","?"
"Adenovirus type B","Adenoviridae, Mastadenovirus","dsDNA","Non-env","Human","Entry","Fiber protein","CD86","Adhesion molecule","B lymphocytes, monocytes","epithelial cells","?"
"Adenovirus type D Ad37","Adenoviridae, Mastadenovirus","dsDNA","Non-env","Human","Entry","Fiber protein","Sialic acids","Carbohydrate","Epithelial cells, blood cells, ubiquitous","corneal and genital epithelial cells","?"
"Adenovirus type D Ad37","Adenoviridae, Mastadenovirus","dsDNA","Non-env","Human","Entry","Fiber protein","Ganglioside GD1a","Glycosphingolipid","Neurons, Ubiquitous","corneal and genital epithelial cells","?"
"Adenovirus type B2 and Ad3","Adenoviridae, Mastadenovirus","dsDNA","Non-env","Human","Entry","Fiber protein","CD46","Receptor","Ubiquitous","?","?"
"Adenovirus type C","Adenoviridae, Mastadenovirus","dsDNA","Non-env","Human","Adhesion","Fiber protein","CXADR(CAR)","Adhesion molecule","Epithelial and endothial cell, heart, brain","epithelial cells in pharynx, lung, cornea","Clathrin-mediated endocytosis"
"Adenovirus type C","Adenoviridae, Mastadenovirus","dsDNA","Non-env","Human","Entry","Penton protein","Integrin &alpha;V &beta;5?","Adhesion molecule","?","epithelial cells in pharynx, lung, cornea","Clathrin-mediated endocytosis"
"Enterobacteria phage PhiX174","Microviridae,'Microvirus'","ssDNA","Non-env","Bacteria","Adhesion","Spike G protein","LPS?","Carbohydrate","NA","NA","Viral attachment to host cell pilus"
"Adeno-associated virus type 2","Parvoviridae, Dependoparvovirus","ssDNA","Non-env","Human","Adhesion","VP1, VP2 and VP3 capsid proteins","Heparan sulfate","Carbohydrate","","Muscles, Neurons, Hepatocytes","Clathrin-mediated endocytosis"
"Adeno-associated virus type 2","Parvoviridae, Dependoparvovirus","ssDNA","Non-env","Human","Adhesion","VP1, VP2 and VP3 capsid proteins","Integrin &alpha;5 &beta;1","Adhesion molecule","Beta1: Salivary gland?","Muscles, Neurons, Hepatocytes","Clathrin-mediated endocytosis"
"Adeno-associated virus type 2","Parvoviridae, Dependoparvovirus","ssDNA","Non-env","Human","Entry","VP1, VP2 and VP3 capsid proteins","Laminin receptor(RPSA)","Receptor","ubiquitous","Muscles, Neurons, Hepatocytes","Clathrin-mediated endocytosis"
"Adeno-associated virus type 2","Parvoviridae, Dependoparvovirus","ssDNA","Non-env","Human","Entry","VP1, VP2 and VP3 capsid proteins","AAVR (KIAA0319L)","Receptor","Neurons?","Muscles, Neurons, Hepatocytes","Clathrin-mediated endocytosis"
"Adeno-associated virus type 3,8 and 9","Parvoviridae, Dependoparvovirus","ssDNA","Non-env","Human","Adhesion","VP1, VP2 and VP3 capsid proteins","Heparan sulfate","Carbohydrate","","","Clathrin-mediated endocytosis"
"Adeno-associated virus type 3,8 and 9","Parvoviridae, Dependoparvovirus","ssDNA","Non-env","Human","Entry","VP1, VP2 and VP3 capsid proteins","Laminin receptor(RPSA)","Receptor","Ubiquitous","","Clathrin-mediated endocytosis"
"Bovine parvovirus","Parvoviridae, Bocavirus","ssDNA","Non-env","Bovine","Adhesion","VP1, VP2 and VP3 capsid proteins","&alpha;2,3 N-linked and O-linked sialic acids","Carbohydrate","","","Clathrin-mediated endocytosis"
"Canine parvovirus","Parvoviridae, Parvovirus","ssDNA","Non-env","Dogs","Entry","VP1, VP2","Transferin receptor (TFRC)","Receptor","Monocytes, lymphocytes, erythrocytes","Monocytes, lymphocytes","Clathrin-mediated endocytosis"
"Feline panleukopenia virus","Parvoviridae, Parvovirus","ssDNA","Non-env","Feline","Entry","VP1, VP2","Transferin receptor (TFRC)","Receptor","Monocytes, lymphocytes, erythrocytes","Monocytes, lymphocytes","Clathrin-mediated endocytosis"
"Human parvovirus B19","Parvoviridae, Erythrovirus","ssDNA","Non-env","Human","Adhesion","VP1, VP2","Globoside?","Glycosphingolipid","","erythroid progenitor cells, epithelial cells of lung","Clathrin-mediated endocytosis"
"Human parvovirus B19","Parvoviridae, Erythrovirus","ssDNA","Non-env","Human","Entry","VP1, VP2","Integrin &alpha;5 &beta;1","Adhesion molecule","Beta1: Salivary gland?","erythroid progenitor cells, epithelial cells of lung","Clathrin-mediated endocytosis"
"Minute virus of mice","Parvoviridae, Parvovirus","ssDNA","Non-env","Rodent","Adhesion","VP1, VP2","alpha 2,3 Sialic acids","Carbohydrate","?","MVMp:oropharynx epithelial cellsMVMi:lymphocytes, endothelial cells","Clathrin-mediated endocytosis"
"Porcine circovirus 2","Circoviridae, Circovirus","ssDNA","Non-env","Rodent","Adhesion","Capsid protein","Heparan sulfate","Carbohydrate","?","","Clathrin-mediated endocytosis"
"Porcine circovirus 2","Circoviridae, Circovirus","ssDNA","Non-env","Rodent","Adhesion","Capsid protein","chondroitin sulfate B","Carbohydrate","?","Lymphocytes, macrophages","Clathrin-mediated endocytosis"
"Rhesus Rotavirus","Reoviridae, Rotavirus","dsRNA","Non-env","Monkeys","Adhesion","VP4","JAM-A/F11R","Adhesion molecule","epithelial cells","biliary epithelial cell (cholangiocytes)","Clathrin/caveolin-independent endocytosis"
"Rhesus Rotavirus","Reoviridae, Rotavirus","dsRNA","Non-env","Monkeys","Adhesion","VP8*","Neu5Ac Sialic acids","Carbohydrate","?","biliary epithelial cell (cholangiocytes)","Clathrin/caveolin-independent endocytosis"
"Rhesus Rotavirus","Reoviridae, Rotavirus","dsRNA","Non-env","Monkeys","Entry","VP4","Integrin &alpha;2 &beta;1","Adhesion molecule","?","biliary epithelial cell (cholangiocytes)","Clathrin/caveolin-independent endocytosis"
"Rhesus Rotavirus","Reoviridae, Rotavirus","dsRNA","Non-env","Monkeys","Entry","VP4","Integrin &alpha;4 &beta;1","Adhesion molecule","Leukocytes","biliary epithelial cell (cholangiocytes)","Clathrin/caveolin-independent endocytosis",""
"Rhesus Rotavirus","Reoviridae, Rotavirus","dsRNA","Non-env","Monkeys","Entry","Capsid protein VP4","Integrin &alpha;V &beta;3","Adhesion molecule","?","biliary epithelial cell (cholangiocytes)","Clathrin/caveolin-independent endocytosis"
"Porcine Rotavirus","Reoviridae, Rotavirus","dsRNA","Non-env","Pig","Adhesion","Outer capsid protein VP8*","Neu5Gc Sialic acids","Carbohydrate","?","enterocytes at the top of intestinal villi","Clathrin-mediated endocytosis"
"Human Rotavirus strain Wa","Reoviridae, Rotavirus","dsRNA","Non-env","Human","Adhesion","Outer capsid protein VP8*","A Histo-blood group antigen (HBGA)","Adhesion molecule","?","enterocytes at the top of intestinal villi","Clathrin-mediated endocytosis"
"Human Rotavirus strain Wa","Reoviridae, Rotavirus","dsRNA","Non-env","Human","Adhesion","Outer capsid protein VP4","JAM-A/F11R","Adhesion molecule","?","enterocytes at the top of intestinal villi","Clathrin-mediated endocytosis"
"Human Rotavirus strain Wa","Reoviridae, Rotavirus","dsRNA","Non-env","Human","Entry","Outer capsid protein VP4","Integrin &alpha;2 &beta;1","Adhesion molecule","?","enterocytes at the top of intestinal villi","Clathrin-mediated endocytosis"
"Mammalian reovirus","Reoviridae, Orthoreovirus","dsRNA","Non-env","Human","Entry","Outer capsid protein Sigma-1","JAM-A/F11R, Carbohydrates","Adhesion molecule","?","neurons","Clathrin-mediated endocytosis"
"Mammalian reovirus","Reoviridae, Orthoreovirus","dsRNA","Non-env","Human","Entry","Outer capsid protein Sigma-1","Integrin &beta;1","Adhesion molecule","?","primary: enterocytes at the top of intestinal villi, secondary: neurons","Clathrin-mediated endocytosis"
"Mammalian reovirus","Reoviridae, Orthoreovirus","dsRNA","Non-env","Human","Entry","Outer capsid protein Sigma-1","RTN4R(NgR1)","Receptor","Neurons","primary: enterocytes at the top of intestinal villi, secondary: neurons","Clathrin-mediated endocytosis"
"Bluetongue virus","Reoviridae, Orbivirus","dsRNA","Non-env","Bovine, goat, sheep, bitting midges","Adhesion?","Outer capsid protein VP2 ","Sialic acids?","Carbohydrate","?","Mammals primary: lymphocytes, secondary: endothelial cells; Insect: gut","Clathrin-mediated endocytosis "
"Bluetongue virus","Reoviridae, Orbivirus","dsRNA","Non-env","Bovine, goat, sheep, bitting midges","Adhesion?","Outer capsid protein VP2","Heparan sulfate","Carbohydrate","?","Mammals primary: lymphocytes, secondary: endothelial cells; Insect: gut","Clathrin-mediated endocytosis "
"Bluetongue virus","Reoviridae, Orbivirus","dsRNA","Non-env","Bovine, goat, sheep, bitting midges","Entry?","Intermediate capsid protein VP7","Integrin?","Adhesion molecule","?","Mammals primary: lymphocytes, secondary: endothelial cells; Insect: gut","Clathrin-mediated endocytosis "
"Bovine coronavirus","Coronaviridae, Betacoronavirus","ss+RNA","Env","Bovine","Entry","Spike glycoprotein","? Sialic acids","Carbohydrate","?","Calves: respiratory epithelium. Adult: intestinal epithelium","?"
"Bovine viral diarrhea virus","Flaviviridae, Pestivirus","ss+RNA","Env","Bovine","Entry","Envelope glycoprotein E1/E2","CD46","Receptor","Ubiquitous","Primary: respiratory epithelium. Secondary: Lymphocytes?","Clathrin-mediated endocytosis"
"Norwalk virus","Caliciviridae, Norovirus","ss+RNA","Env","Human","Entry","capsid protein VP1","A/O Histo-blood group antigen (HBGA)","Carbohydrate","?","epithelial intestinal cells","?"
"Murine norovirus","Caliciviridae, Norovirus","ss+RNA","Env","Mouse","Entry","Capsid protein VP1","CD300lf, CD300ld","Receptor","Tuft cells, Dendritic cells?, immune cells?","Tuft cells, Macrophages?, dendritic cells?","?"
"Feline calicivirus","Caliciviridae, Norovirus","ss+RNA","Env","Felines","Entry","Capsid protein VP1","JAM-A/F11R","Adhesion molecule","?","?","?"
"Classical swine fever virus","Flaviviridae, Pestivirus","ss+RNA","Env","Swine","Adhesion","Envelope glycoprotein E1/E2","Heparan sulfate","Carbohydrate","","Primary: Mainly Blood, lymphoid tissue, pancreas and ileum, secondary: most organs","?"
"Classical swine fever virus","Flaviviridae, Pestivirus","ss+RNA","Env","Swine","Entry","Envelope glycoprotein E1/E2","CD46","Receptor","Ubiquitous","Primary: Mainly Blood, lymphoid tissue, pancreas and ileum, secondary: most organs","?"
"Coxsackievirus A9","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","Integrin &alpha;V &beta;3","Adhesion molecule","?","epithelial airway cells","Clathrin/caveolin-independent endocytosis"
"Coxsackievirus A9","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","Integrin &alpha;V &beta;6","Adhesion molecule","?","epithelial airway cells","Clathrin/caveolin-independent endocytosis"
"Coxsackievirus A21","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Adhesion","Capsid protein VP1, VP2 and VP3","CD55 (DAF)","Complement regulator","Lung, ovary, placenta","epithelial airway cells","?"
"Coxsackievirus A21","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","ICAM-1","Adhesion molecule","Lungs, Lymphoid tissues, Kidney","epithelial airway cells","?"
"Coxsackievirus B1 to B6 ","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Entry","Capsid protein VP1, VP2 and VP3","CXADR(CAR)","Adhesion molecule","Epithelial and endothial cell, heart, brain","Brain, heart, pancreas","Caveolin-mediated endocytosis"
"Coxsackievirus B1, B3, B5 ","Picornaviridae, Enterovirus","ss+RNA","Non-env","Human","Adhesion","VP1, VP2 and VP3","CD55 (DAF)","Complement regulator","Lung, ovary, placenta","Brain, heart, pancreas","Caveolin-mediated endocytosis"
"Japanese encephalitis virus","Flaviviridae, Flavivirus","ss+RNA","Env","Bovine, bird, horse, swine, mosquitoes and Human","Entry?","Envelope protein E","DC-SIGN","Lectin","Dendritic cells","Dendritic cells, Neurons","Clathrin independent endocytosis"
"Japanese encephalitis virus","Flaviviridae, Flavivirus","ss+RNA","Env","Bovine, bird, horse, swine, mosquitoes and Human","Entry?","Envelope protein E","CLEC4G (LSECtin)","Lectin","Dendritic cells, macrophages, sinusoidal endothelial cells of the liver and lymph node","Dendritic cells, Neurons","Clathrin independent endocytosis"
"Dengue virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Adhesion","Envelope protein E","Mannose receptor(MRC1)","Receptor","Macrophages, dendritic cells, dermal fibroblasts and keratinocytes","Macrophages, dendritic cells, hepatocytes, platelets","Clathrin-mediated endocytosis, or Macropinocytosis"
"Dengue virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Adhesion","Envelope protein E","Heparan sulfate","Carbohydrate","","Macrophages, dendritic cells, hepatocytes, platelets","Clathrin-mediated endocytosis, or Macropinocytosis"
"Dengue virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Adhesion","Envelope protein E","CLEC5A","Lectin","Macrophages","Macrophages, dendritic cells, hepatocytes, platelets","Clathrin-mediated endocytosis, or Macropinocytosis"
"Dengue virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Adhesion","Envelope protein E","DC-SIGN","Lectin","Dendritic cells","Macrophages, dendritic cells, hepatocytes, platelets","Clathrin-mediated endocytosis, or Macropinocytosis"
"Dengue virus 1","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Entry","Envelope protein E","Laminin receptor (RPSA)?","Receptor","Ubiquitous","Macrophages, dendritic cells, hepatocytes, platelets","Clathrin-mediated endocytosis, or Macropinocytosis"
"Dengue virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes"," Alternative Entry"," virion membrane phosphatidylserine","HAVCR1(TIM1)","Receptor","Dendritic cells, macrophages, epithelial cells, mast cells, B lymphocytes, activated CD4+ cells, kidney, hepatocytes","Macrophages, dendritic cells, hepatocytes, platelets","Clathrin-mediated endocytosis, or Macropinocytosis"
"Dengue virus","Flaviviridae, Flavivirus","ss+RNA","Env","Human, mosquitoes","Entry","Small envelope protein M","CLDN1","Adhesion molecule","Epithelial cells","Macrophages, dendritic cells, hepatocytes, platelets","Clathrin-mediated endocytosis, or Macropinocytosis"
